SWB_1_1,SWB_2_1,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,POS_1,POS_2,POS_3,POS_4,POS_5,Network_1,Network_2,Network_3,Network_4,Network_5,Network_6,Network_7,Network_8,Network_9,SEC_1,SEC_2,SEC_3,SEC_4,SEC_5,SEC_6,SEC_7,SEC_8,CIVIC_1,CIVIC_2,CIVIC_3
2,2,4,3,3,4,5,5,3,1,2,4,5,5,5,5,5,5,1,4,5,77,79,100,48,67,62,90,32,4,4,4
4,4,4,3,2,4,4,4,4,2,3,4,4,4,4,4,4,5,4,4,5,100,100,100,91,86,93,95,87,3,3,3
2,2,3,3,3,5,3,3,1,5,1,3,4,4,3,3,1,2,4,3,3,,,,,,,,,3,3,3
4,4,4,3,3,3,5,4,4,2,3,4,4,5,5,5,4,4,2,5,5,80,90,100,65,100,100,95,90,4,4,4
4,3,3,3,4,5,4,5,3,3,3,4,2,5,4,4,3,4,4,2,2,65,60,50,80,75,50,60,75,4,4,4
3,2,3,4,1,5,3,4,3,5,4,5,4,3,3,2,4,4,2,4,4,62,86,78,68,72,43,91,76,4,3,3
4,3,4,3,3,3,5,5,4,1,5,5,5,5,5,5,5,4,4,4,5,91,90,84,100,70,79,92,85,4,4,4
4,2,3,3,4,5,3,4,2,3,4,4,5,4,4,4,2,3,4,4,4,82,77,78,93,81,69,75,20,4,4,4
4,2,3,3,3,3,4,3,2,2,2,2,5,4,5,4,3,3,5,4,4,,,,,,,,,4,3,4
3,2,3,,1,5,2,2,2,4,2,3,4,2,2,1,2,3,4,2,2,75,89,68,51,76,76,90,98,4,4,4
4,2,3,3,3,4,3,4,2,3,3,3,4,4,3,3,3,3,4,3,3,25,65,30,30,50,45,75,35,3,3,3
4,4,4,2,2,3,4,4,4,3,4,4,5,4,4,4,4,4,1,4,4,,,,,,,,,4,3,3
4,3,4,3,2,3,4,4,4,3,4,4,5,4,3,3,4,4,1,5,5,81,67,53,53,78,65,72,87,3,3,3
2,3,3,3,3,4,2,3,3,3,2,3,4,4,5,3,3,4,3,4,4,50,60,75,25,75,40,40,60,3,3,3
2,3,2,3,3,5,2,4,2,3,2,2,3,4,3,3,1,1,4,2,2,,,,,,,,,4,4,4
4,3,4,2,1,3,3,4,4,3,3,4,5,3,3,2,4,5,3,4,5,,,,,,,,,3,2,3
4,4,4,3,3,3,5,2,2,4,3,3,4,4,4,3,4,2,4,3,3,,,,,,,,,3,3,3
4,4,4,3,2,3,4,3,3,2,3,3,3,3,3,3,4,4,3,4,4,,,,,,,,,4,4,4
5,5,5,2,2,2,5,5,5,2,5,5,5,5,5,3,5,5,1,4,4,99,,94,15,41,66,80,30,4,3,3
4,4,4,3,3,3,4,4,3,2,4,4,4,4,5,5,5,5,2,4,4,71,84,90,70,74,73,73,72,3,3,3
5,3,4,3,2,4,3,4,4,2,5,4,5,5,5,5,5,5,1,5,5,85,85,86,87,86,87,86,87,4,4,4
5,5,4,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,100,100,100,80,100,80,100,80,3,3,3
1,4,4,2,2,3,5,4,3,2,5,4,5,3,3,2,5,3,1,5,5,,,,,,,,,4,4,3
4,3,3,4,4,5,3,2,3,2,3,3,2,4,3,2,3,3,4,2,2,20,11,30,50,50,40,30,30,3,3,3
4,3,3,3,3,4,4,3,3,3,4,5,5,3,5,2,2,3,3,4,4,85,100,93,90,90,85,100,100,3,4,4
5,4,4,2,2,3,5,4,4,2,5,5,5,4,4,4,5,5,1,4,5,70,70,85,70,85,70,85,85,3,3,3
4,3,4,2,1,4,3,5,3,4,3,4,5,5,4,4,5,5,2,4,5,,,,,,,,,3,3,3
5,5,4,4,2,4,4,4,4,2,4,4,4,4,5,4,2,3,3,3,3,,,,,,,,,3,3,3
3,2,3,3,3,5,3,4,3,3,3,3,5,4,4,4,4,4,4,5,5,85,85,85,87,86,66,86,93,4,4,4
3,3,4,3,3,4,4,3,3,3,4,4,3,3,3,3,3,4,4,4,4,55,88,73,37,44,60,57,90,3,4,4
4,2,3,3,2,3,2,5,4,2,3,4,4,4,4,4,4,4,4,4,4,71,71,70,81,73,71,75,73,4,3,4
4,4,4,2,1,5,5,4,4,1,3,5,5,4,4,3,4,4,2,5,4,92,99,100,99,90,91,89,90,4,4,4
5,5,4,2,1,1,4,5,4,2,5,5,4,4,4,4,4,4,1,4,4,90,80,100,80,90,80,90,95,3,3,4
3,2,3,4,4,5,3,5,3,1,3,3,4,4,4,4,1,2,4,4,4,,,,,,,,,4,3,3
4,3,3,4,4,5,3,4,2,4,1,2,4,4,4,3,3,4,3,4,4,90,85,80,100,85,70,80,70,3,3,3
4,4,4,2,3,3,5,4,3,2,3,4,5,5,5,5,5,5,1,5,5,71,100,100,72,100,89,100,100,4,4,4
2,3,4,4,4,4,3,2,1,1,2,4,5,4,5,3,4,5,4,2,5,90,90,95,100,100,85,85,90,4,4,4
4,4,3,4,4,5,2,5,2,2,2,4,4,4,4,4,4,4,4,4,4,100,100,100,34,100,100,100,50,4,4,4
5,5,4,3,1,2,4,4,4,2,5,5,5,5,4,4,5,5,1,4,5,,,,,,,,,4,4,4
4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,78,73,74,32,79,83,81,79,3,3,3
5,5,4,2,1,3,4,4,3,2,4,5,5,4,4,3,5,5,1,5,5,,,,,,,,,4,4,4
3,2,4,4,2,5,4,3,2,4,3,3,4,3,3,3,4,5,4,2,4,,,,,,,,,3,3,3
4,4,3,3,3,3,1,3,2,3,3,3,4,4,4,4,3,5,2,3,3,,,,,,,,,4,4,4
3,1,4,4,4,5,4,3,2,2,1,3,2,4,5,2,4,1,4,5,2,,,,,,,,,3,3,4
4,3,4,3,2,5,3,4,3,3,2,4,4,4,4,4,3,4,3,4,4,65,60,80,70,70,50,85,70,3,3,4
4,3,4,4,3,5,4,5,3,3,4,5,4,5,5,5,2,2,3,4,3,85,90,75,50,98,65,100,100,3,3,4
3,5,4,4,4,3,2,5,3,4,3,4,5,4,5,2,1,3,3,2,3,92,92,90,70,91,50,81,65,4,4,4
5,4,3,3,3,5,3,4,3,1,4,3,1,5,5,3,5,5,3,5,5,,,,,,,,,4,3,3
4,4,3,4,3,3,4,4,2,4,4,4,4,3,3,2,3,5,2,5,5,,,,,,,,,4,4,4
5,4,4,2,2,2,5,5,4,2,5,5,5,5,4,4,5,5,1,5,5,91,82,100,83,93,100,84,80,4,4,4
4,4,3,3,3,3,3,3,4,4,3,4,3,3,3,2,3,3,3,3,2,,,,,,,,,4,3,3
